term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95
port_treat,-0.00037860454280713837,0.00017013027661054843,-2.2253801636602057,0.02605572803142649,-0.0007120598849638133,-4.5149200650463446e-05,8827231,Stacked_Broad_All,stacked_own_port_intensity,lcus,6,12,71,148548,8827231,-0.03785328811513161,-0.07118064304857509,-0.004514818144064265
port_treat_level2,5.092902297885041e-06,0.0002502720590165827,0.020349464170699105,0.9837645972405737,-0.000485440333374617,0.0004956261379703871,8827231,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lcus,6,12,71,148548,8827231,0.0005092915266733966,-0.04853225262795265,0.049574898089859064
port_treat_dc,-0.0008694174897119398,0.00022917858193641623,-3.7936245279375744,0.0001484641207976941,-0.0013186075103073156,-0.00042022746911656397,8827231,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lcus,6,12,71,148548,8827231,-0.08690396558326251,-0.13177385294144064,-0.042013918592043835
port_treat,-0.00039294447779617415,0.00021602271450418223,-1.8189961120434244,0.06891202324248272,-0.0008163489982243714,3.0460042632023023e-05,8827231,Stacked_Broad_All,stacked_own_port_intensity,lspend,6,12,71,148548,8827231,-0.039286728522598804,-0.08160158760350754,0.003046050654383184
port_treat_level2,-0.00015639351555122932,0.0003164410959814342,-0.49422631111227416,0.6211463599305225,-0.0007766180636748403,0.0004638310325723817,8827231,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lspend,6,12,71,148548,8827231,-0.015638128672288754,-0.07763165739189416,0.046393861881907396
port_treat_dc,-0.0006955325621156605,0.00029528885506860684,-2.3554311318456693,0.01850122612236529,-0.0012742987180501299,-0.00011676640618119103,8827231,Stacked_Broad_All,stacked_own_port_intensity_by_charger,lspend,6,12,71,148548,8827231,-0.06952907354125439,-0.12734871442044923,-0.01167595892497169
