term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95
competitor_port_treat,1.5995646869806014e-07,6.4033038006349575e-06,0.024980302930839967,0.9800706746902883,-1.2390518980546457e-05,1.2710431917942576e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity,lcus,6,12,71,81558,8451539,1.5995648149109675e-05,-0.0012390442218383193,0.0012710512695824586
competitor_port_treat_level2,7.756649082300064e-06,6.523886702889968e-06,1.1889613409233493,0.23445487996698477,-5.030168855364272e-06,2.05434670199644e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,81558,8451539,0.0007756679165180338,-0.0005030156204086128,0.0020543678038428014
competitor_port_treat_dc,-6.548211070832188e-05,1.6229638281519547e-05,-4.034723976743549,5.466652263722456e-05,-9.72922017401002e-05,-3.3672019676543576e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lcus,6,12,71,81558,8451539,-0.006547996680170658,-0.009728746900732771,-0.0033671452780451886
competitor_port_treat,5.018790443506873e-07,7.319193963185018e-06,0.06857026154452256,0.9453316909816054,-1.3843741123491947e-05,1.4847499212193322e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity,lspend,6,12,71,81558,8451539,5.0187917029199605e-05,-0.001384364529934999,0.001484760943685527
competitor_port_treat_level2,6.432891020815168e-06,7.68805119275128e-06,0.8367388379099835,0.40273938324315806,-8.63568931697734e-06,2.1501471358607676e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,81558,8451539,0.0006432911711902979,-0.0008635652029519684,0.0021501702516899717
competitor_port_treat_dc,-5.07472508585371e-05,1.9993873768193914e-05,-2.538140004628088,0.011144339176970558,-8.993524344419717e-05,-1.1559258272877032e-05,8451539,Stacked_Spatial_Competition,stacked_competitor_port_intensity_by_charger,lspend,6,12,71,81558,8451539,-0.00507459632385834,-0.008993119939142568,-0.001155919146490854
