dataset,outcome,ATT,SE,CI_lower,CI_upper
All_POIs,lcus,-0.006924773132009686,0.07325020374872965,-0.1504951724795198,0.13664562621550044
All_POIs,lspend,0.029785556045102073,0.08766275370136305,-0.14203344120956948,0.20160455329977364
