stack_id,event_start,event_end,n_rows,n_treated_pois,n_control_pois,max_control_pois,target,spec,pre_window,post_window,poi_type
62,-6,10,92580,69,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
63,-6,9,88060,51,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
64,-6,8,83706,69,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
65,-6,7,78788,27,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
66,-6,6,75100,73,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
67,-6,5,70379,57,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
68,-6,4,65912,57,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
69,-6,3,60699,21,10000,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
70,-6,2,55353,22,9948,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
71,-6,1,49231,22,9777,10000,spatial,poi_type_Retail_Other,6,12,Retail_Other
