term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,dataset,model,outcome,pre_window,post_window,n_stacks,n_original_pois,n_stacked_rows,pct_effect,pct_ci_low95,pct_ci_hi95,target,spec,max_control_pois,poi_type
competitor_port_treat,8.241213864211032e-05,0.00011794915275552141,0.6987090345017545,0.484733886721063,-0.00014876820075871165,0.0003135924780429323,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,47,4912,733362,0.008241553461569729,-0.01487571353186685,0.03136416533042712,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat_level2,0.00012987899812636066,0.00020269677132356016,0.6407551401943045,0.5216817828826923,-0.00026740667366781726,0.0005271646699205385,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,47,4912,733362,0.012988743276859484,-0.026737092368992143,0.052730364563510074,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat_dc,-3.9567837305751815e-05,0.00032241016191469316,-0.12272515565505379,0.9023247431111441,-0.0006714917546585505,0.0005923560800470467,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,47,4912,733362,-0.0039567054509201845,-0.06712663545245301,0.05925315575565105,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat,0.00015902095013567365,0.00018505035452226704,0.8593388029231726,0.3901536220812576,-0.00020367774472796976,0.0005217196449993171,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,47,4912,733362,0.015903359463720266,-0.020365700382429842,0.052185576436432596,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat_level2,3.781639967577271e-06,0.0002615833782845898,0.014456728834899568,0.9884656010401326,-0.0005089217814702187,0.0005164850614053733,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,47,4912,733362,0.0003781647117986707,-0.05087923027461705,0.0516618462780318,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat_dc,0.0005579537534897744,0.00048742084604379857,1.1447063826228678,0.2523308066027856,-0.00039739110475607077,0.0015132986117356196,733362,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lspend,6,12,47,4912,733362,0.05581094386389825,-0.039731215536927544,0.1514444225892314,spatial,poi_type_Arts_Entertainment,10000,Arts_Entertainment
competitor_port_treat,7.358066249580888e-06,3.5792901524732933e-06,2.0557333817981918,0.039808222407199584,3.4265755073323373e-07,1.4373474948428543e-05,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lcus,6,12,30,4050,747642,0.000735809332021675,3.42657609440339e-05,0.001437357824731451,spatial,poi_type_Clothing,10000,Clothing
competitor_port_treat_level2,7.34877966465083e-06,3.567627219108911e-06,2.0598507672800914,0.039412809532968496,3.5623031519736464e-07,1.4341329014104295e-05,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,30,4050,747642,0.0007348806666998255,3.5623037864739096e-05,0.0014341431851454848,spatial,poi_type_Clothing,10000,Clothing
competitor_port_treat_dc,1.4792228784029683e-05,8.922916426165354e-05,0.16577795955426966,0.8683316918264892,-0.00016009693316881125,0.00018968139073687062,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity_by_charger,lcus,6,12,30,4050,747642,0.0014792338189585333,-0.0160084118338687,0.01896993813893459,spatial,poi_type_Clothing,10000,Clothing
competitor_port_treat,5.633760064987088e-06,4.444439473820957e-06,1.2675974322907482,0.2049417493732013,-3.077341303701986e-06,1.4344861433676162e-05,747642,Robust_Stacked_Spatial,stacked_competitor_port_intensity,lspend,6,12,30,4050,747642,0.0005633775934643125,-0.0003077336568692093,0.001434496432169291,spatial,poi_type_Clothing,10000,Clothing
