term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,period,sample,outcome,outcome_label
port_treat,-1.892050983616836e-05,0.00012508972780607498,-0.15125550409303462,0.8797741679568133,-0.0002640963763360753,0.0002262553566637386,116930,Period1_2019,All,avg_customer_income,Average Customer Income
port_treat,0.07979892352830381,1.427531007876535e-17,5589995810108911.0,0.0,0.07979892352830378,0.07979892352830384,24,Period1_2019,Disadvantaged,median_dist_home,Median Distance from Home
port_treat,0.34018692386268723,5.0405509945175273e-17,6749002722771766.0,0.0,0.3401869238626871,0.34018692386268734,24,Period1_2019,Disadvantaged,median_dwell,Median Dwell Time
port_treat,0.00018851193943040305,0.0005008353192666189,0.37639505877190144,0.7066232189100844,-0.0007931252863321701,0.0011701491651929762,20879,Period1_2019,Disadvantaged,avg_customer_income,Average Customer Income
port_treat,-0.12758962893217402,0.03494851923443965,-3.6507878367116096,0.0002614371381843899,-0.19608872663167573,-0.0590905312326723,537,Period2_2021_2023,All,median_dist_home,Median Distance from Home
port_treat,0.1526698411612471,0.14482281405600383,1.0541836392034805,0.2917988490621979,-0.1311828743885204,0.4365225567110146,594,Period2_2021_2023,All,median_dwell,Median Dwell Time
port_treat,0.00027334110669768294,6.466720735745583e-05,4.226888988521753,2.369444897269029e-05,0.00014659338027706953,0.00040008883311829635,677139,Period2_2021_2023,All,avg_customer_income,Average Customer Income
port_treat,-0.14341559652949049,0.01949672640647756,-7.35588085607245,1.8967213879860653e-13,-0.1816291802861865,-0.10520201277279448,76,Period2_2021_2023,Disadvantaged,median_dist_home,Median Distance from Home
port_treat,0.30849970834519935,1.19091083297377e-11,25904517769.383167,0.0,0.3084997083218575,0.3084997083685412,75,Period2_2021_2023,Disadvantaged,median_dwell,Median Dwell Time
port_treat,0.0005683958172739021,0.00014221429031405347,3.9967559942021786,6.421643211997553e-05,0.00028965580825835726,0.0008471358262894469,164083,Period2_2021_2023,Disadvantaged,avg_customer_income,Average Customer Income
