period,sample,beta_spend,beta_customers,avg_ports_per_evcs,avg_pretx_spending,avg_pretx_customers,avg_pois_in_500m,M_per_poi_annual,F_per_poi_annual,M_all_annual
Period1_2019,All,0.0023485816808270737,0.0017907502847999668,25.255585918662593,9197.828449633429,125.42931684980792,15,6546.808968478939,68.07266922748704,98202.13452718408
Period1_2019,Disadvantaged,0.002685635686747155,0.0016609568335727081,25.283450704225352,9153.355520768233,134.48875017783467,15,7458.388861383611,67.77380924308687,111875.83292075415
Period2_2021_2023,All,0.0015705931287568172,0.0012258466856207293,14.954250192079346,4028.6968395643516,59.20968101110378,8,1135.4660913938271,13.024911074457968,9083.728731150617
Period2_2021_2023,Disadvantaged,0.001689388558821112,0.00114566813711252,14.904144347335777,3123.458675138662,50.88629560565498,8,943.7427040207481,10.426726105496545,7549.941632165985
