term,estimate,std.error,t_stat,p.value,ci_low95,ci_hi95,nobs,outcome,period,sample
port_treat,0.001625215467720121,0.0003856049673764434,4.21471610902128,2.5009257633527658e-05,0.0008694297316622921,0.00238100120377795,126594,lcus,Period1_2019,All
port_treat,0.0020377779622151745,0.0005120539595113005,3.9796156720670814,6.902676827481817e-05,0.0010341522015730254,0.0030414037228573233,126594,lspend,Period1_2019,All
port_treat,1.7289833320913084e-05,0.0014087668589027873,0.012273026733734498,0.9902077872843559,-0.0027438932101285503,0.002778472876770376,20990,lcus,Period1_2019,Disadvantaged
port_treat,0.0006851040103280205,0.0019519626417983547,0.35098213237156534,0.7256017530518539,-0.0031407427675967546,0.004510950788252796,20990,lspend,Period1_2019,Disadvantaged
port_treat,0.0011257141034474512,0.0002951382043356935,3.814193103130259,0.00013662860709445117,0.000547243222949492,0.0017041849839454105,700808,lcus,Period2_2021_2023,All
port_treat,0.0015808491778981086,0.0003554463719440637,4.447504047521648,8.687382265053562e-06,0.0008841742888877437,0.0022775240669084735,700808,lspend,Period2_2021_2023,All
port_treat,0.0010129191314043695,0.0007497660224350871,1.3509803073158941,0.1767017410089149,-0.0004566222725684013,0.0024824605353771403,94396,lcus,Period2_2021_2023,Disadvantaged
port_treat,0.0010118487524036187,0.0008888139231685585,1.138425857232805,0.25494270204377956,-0.000730226537006756,0.0027539240418139933,94396,lspend,Period2_2021_2023,Disadvantaged
